age,arab,children_0_1,children_0_17,children_2_4,children_5_9,children_10_14,children_15_17,highest_cert,lf_char,marital,schooling,week_hours,yeshiva
17,0,0,1,0,0,0,1,1,6,4,11,0,0
18,0,0,0,0,0,0,0,1,6,4,12,0,0
68,0,0,0,0,0,0,0,2,6,2,12,0,0
81,0,0,0,0,0,0,0,2,6,1,12,0,0
81,0,0,0,0,0,0,0,3,6,3,12,0,0
16,0,0,1,0,0,0,1,1,6,4,11,0,0
76,0,0,0,0,0,0,0,4,6,1,13,0,0
45,0,0,0,0,0,0,0,9,6,4,8,0,0
69,0,0,0,0,0,0,0,9,6,3,8,0,0
69,0,0,0,0,0,0,0,2,6,1,12,0,0
16,0,0,1,0,0,0,1,2,6,4,12,0,0
16,0,0,1,0,0,0,1,9,6,4,10,0,0
26,0,0,0,0,0,0,0,3,6,4,14,0,0
74,0,0,0,0,0,0,0,2,6,3,15,0,0
73,0,0,0,0,0,0,0,9,6,1,7,0,0
85,0,0,0,0,0,0,0,9,6,1,6,0,0
17,0,0,1,0,0,0,1,2,6,4,,0,0
18,0,0,0,0,0,0,0,1,6,4,12,0,0
24,0,0,0,0,0,0,0,3,5,4,12,0,0
67,0,0,0,0,0,0,0,5,6,1,20,0,0
19,0,0,2,0,0,1,1,2,6,4,12,0,0
17,0,0,2,0,0,1,1,1,6,4,12,0,0
20,0,0,0,0,0,0,0,3,6,4,12,0,0
69,0,0,0,0,0,0,0,2,6,1,,0,0
21,0,0,0,0,0,0,0,3,6,4,12,0,0
20,0,0,0,0,0,0,0,3,6,4,12,0,0
85,0,0,0,0,0,0,0,1,6,1,6,0,0
17,0,0,1,0,0,0,1,9,6,4,12,0,0
17,0,0,1,0,0,0,1,9,6,4,2,0,0
17,0,0,1,0,0,0,1,9,6,4,12,0,0
17,0,0,1,0,0,0,1,9,6,4,12,0,0
17,0,0,1,0,0,0,1,1,6,4,10,0,0
19,0,0,0,0,0,0,0,2,6,4,12,0,0
22,0,0,0,0,0,0,0,2,6,4,12,0,0
15,0,0,1,0,0,0,1,1,6,4,11,0,0
16,0,0,1,0,0,0,1,2,6,4,10,0,0
72,0,0,0,0,0,0,0,4,6,1,14,0,0
85,0,0,0,0,0,0,0,1,6,1,8,0,0
17,0,0,1,0,0,0,1,1,6,4,10,0,0
85,0,0,0,0,0,0,0,4,6,1,14,0,0
84,0,0,0,0,0,0,0,1,6,3,7,0,0
82,0,0,0,0,0,0,0,9,6,3,6,0,0
76,0,0,0,0,0,0,0,1,6,1,12,0,0
20,0,0,0,0,0,0,0,2,6,4,12,0,0
24,0,0,0,0,0,0,0,3,6,4,12,0,0
15,0,0,1,0,0,0,1,1,6,4,10,0,0
29,0,1,3,2,0,0,0,2,6,1,18,0,1
80,0,0,0,0,0,0,0,1,6,1,11,0,0
41,0,0,0,0,0,0,0,9,6,2,7,0,0
85,0,0,0,0,0,0,0,1,6,1,8,0,0
51,0,0,3,0,1,2,0,5,6,1,15,0,0
22,0,0,0,0,0,0,0,2,6,4,12,0,0
17,0,0,1,0,0,0,1,3,6,4,10,0,0
20,0,0,2,0,1,0,1,3,6,4,12,0,0
17,0,0,2,0,0,1,1,1,6,4,11,0,0
17,0,0,4,0,2,1,1,1,6,4,11,0,0
84,0,0,0,0,0,0,0,1,6,1,10,0,0
85,0,0,0,0,0,0,0,4,6,1,13,0,0
15,0,0,1,0,0,0,1,1,6,4,10,0,0
20,0,0,0,0,0,0,0,1,6,4,,0,0
16,0,0,1,0,0,0,1,1,6,4,10,0,0
16,0,0,1,0,0,0,1,1,6,4,11,0,0
17,0,0,1,0,0,0,1,1,6,4,7,0,0
19,0,0,0,0,0,0,0,3,6,4,12,0,0
